,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YKR048C,0.049945103577805,620,YML082W,0.0080642749853901,685,YMR318C,1.0630831323853005,79,YJR131W,1.3176913135333908,13,YER111C,0.0514753360678006,1015,YJR056C,0.0012735180157054,198,YGL117W,1.7704974982356374,38,YER111C,1.4800585229204184,1015,YGL178W,0.1293423690195805,158,YBR112C,0.2530504800579616,1738,YCL059C,-0.0,107,YCL059C,-0.0,107
1,YFR008W,0.0466083158376476,18,YHL035C,0.002988875925276,236,YOR025W,0.7096317509330426,401,YER157W,1.1814886167325958,545,YFL047W,0.0510887698480769,623,YBR163W,0.0011504068499261,27,YDR539W,0.7887905328310229,162,YER056C,1.440743493111327,715,YAR015W,0.1006784767402168,263,YNL034W,0.1271555018703331,47,YHR061C,-0.0,361,YOL021C,0.0,670
2,YKL054C,0.0448963364690993,1284,YBL052C,0.0023941319767587,88,YHL034C,0.4105367770499994,587,YGL114W,0.8829378879194688,1134,YPL016W,0.0494613493244073,499,YGL114W,0.0006075098161394,1134,YHR091C,0.6591297006794571,562,YDR038C,0.988926844351691,2777,YAR042W,0.0879255706904261,311,YIR035C,0.1125247495233848,198,YGR213C,0.0,335,YOL021C,-0.0,670
3,YOR389W,0.0388345888769988,456,YER157W,0.0019924473192275,545,YKR021W,0.4090468077922091,1235,YKL054C,0.679931881564798,1284,YOL151W,0.0480026522421663,402,YOR373W,0.0003855744954764,788,YIL127C,0.5839654291006144,68,YMR273C,0.7933531184267274,2530,YLR311C,0.0624531614106818,174,YLR114C,0.0907427676394562,1894,YGR213C,0.0,335,YOL021C,-0.0,548
4,YDR247W,0.0386251913681341,631,YJR131W,0.0017946812567707,13,YAR035W,0.3676741621231662,1157,YOR258W,0.5191178523364973,377,YGR266W,0.0475035678715121,982,YLL028W,0.0003706569116169,61,YDR133C,0.4723842190959114,224,YPL190C,0.7867780958824591,530,YOR053W,0.0616052626339726,150,YGL178W,0.0874654372249664,158,YGR213C,0.0,256,YOL021C,0.0,548
5,YLR318W,0.0384263808642041,1288,YJL090C,0.0011315933883749,829,YHR135C,0.3631136986622742,644,YLR426W,0.4700677112084425,351,YDR038C,0.045648089294253,2777,YBR250W,0.000338294926094,669,YBR055C,0.3511148667844604,281,YPL016W,0.7804193627481554,499,YBR298C,0.0593402209102088,494,YLR311C,0.0791473550087705,174,YGR213C,-0.0,256,YOL021C,-0.0,548
6,YOR290C,0.036333499949236,932,YKL007W,0.0009903918963979,394,YBR055C,0.2978492644006806,281,YDR078C,0.4387070272192817,112,YJL094C,0.0444962260087751,152,YOL119C,0.0002997239377538,350,YAR035W,0.3005433519352675,1157,YOR153W,0.7227936151397044,650,YHR134W,0.0575169497322455,200,YHR134W,0.0639644930656968,66,YGR213C,-0.0,175,YOL021C,-0.0,509
7,YNL034W,0.0362191149502947,534,YLR426W,0.0007597734248737,351,YEL016C,0.2945599388374193,494,YAL063C,0.2853631013143929,276,YGR048W,0.0401315902749692,342,YOR056C,0.0002109073258554,22,YOR019W,0.2357200155936487,165,YJL020C,0.6930484866241066,530,YPR022C,0.0573953253568685,654,YAR018C,0.063108571983512,624,YGR213C,0.0,175,YOL021C,0.0,509
8,YCR018C,0.0356032346504243,258,YMR020W,0.0007186978306999,618,YOR363C,0.2517218699959544,1399,YPR079W,0.2183456125916053,90,YHR211W,0.0401060826250326,3625,YNL094W,9.31135585478894e-05,995,YKL164C,0.1830060827085101,364,YMR317W,0.6804990404952795,333,YLL008W,0.0535591604412049,564,YLR118C,0.0617229503359736,101,YGR213C,0.0,175,YOL021C,-0.0,483
9,YHR145C,0.0324888470819517,227,YLL028W,0.0006969702359186,61,YOR082C,0.1677414231888625,106,YIR010W,0.2072768128923104,596,YMR155W,0.0369011778775955,34,YBL017C,1.8152337880359997e-05,456,YBR036C,0.1653148940474534,127,YGR095C,0.6383976962846609,1,YPL190C,0.049104197642567,733,YIL048W,0.0588076582465505,1196,YGR213C,0.0,140,YOL021C,0.0,483
10,YIL074C,0.0311044757110079,212,YAL063C,0.0005832242610953,276,YGL178W,0.1630763799922265,251,YMR020W,0.1665489292186037,618,YCR081W,0.0357674914540833,2243,YBR197C,0.0,202,YLR222C,0.1572976367975042,119,YBR150C,0.6181228515596917,1421,YDR534C,0.0474308768154266,1146,YKL032C,0.0575910746445085,369,YGR213C,-0.0,140,YOL021C,0.0,416
11,YGL262W,0.0299337066581108,130,YPL224C,0.0005512996055959,262,YGL114W,0.1599688726320787,1032,YPL270W,0.1356640499744376,616,YFR005C,0.0340110510159408,398,YBR197C,-0.0,202,YLL049W,0.142370005136358,8,YLL039C,0.5123546317891058,919,YKR072C,0.0446390001469238,1179,YPL273W,0.0496576578915067,74,YGR213C,-0.0,136,YOL021C,0.0,416
12,YFR005C,0.0282505604286677,398,YOL151W,0.0005258561282977,399,YAL040C,0.1268152578443927,50,YFL023W,0.0659007079903731,1499,YJR162C,0.030897413081707,85,YBR197C,-0.0,202,YMR224C,0.1334919193877861,1139,YDR034C,0.5107604225325585,536,YLR205C,0.0445989629062976,212,YIL147C,0.0492726074321587,692,YGR213C,0.0,136,YOL021C,-0.0,416
13,YDL065C,0.0279478039828525,128,YOR258W,0.0004228730724159,377,YIL127C,0.1109199685873695,128,YNR030W,0.0548796476962764,1196,YJL020C,0.0297402707155773,530,YCL059C,0.0,107,YGL255W,0.1241637978970894,62,YMR217W,0.5080536986035882,107,YBR289W,0.0436080866141505,598,YIL117C,0.049194530866759,124,YGR213C,-0.0,136,YOL021C,0.0,158
14,YGL255W,0.0275205978835207,614,YNL007C,0.0003469245368943,582,YPL273W,0.0895261056058196,20,YAR035W,0.0226108160146979,1091,YEL007W,0.0291142783320398,1211,YBR197C,-0.0,188,YHR010W,0.1238969983074321,354,YPL049C,0.494058056088374,95,YJL071W,0.0419222805243439,289,YDL243C,0.042766880842147,243,YGR213C,0.0,50,YOL021C,0.0,158
15,YBR298C,0.0239950206884723,472,YDR247W,0.0003323084320941,631,YLR418C,0.0781594381094145,332,YJR131W,1.765042464627e-14,42,YBR298C,0.025322943248642,494,YBR197C,0.0,212,YJR072C,0.0910196011032747,368,YBR112C,0.4853344690428996,1774,YGR059W,0.0416191026379508,659,YER133W,0.0402411456419678,549,YGR213C,0.0,50,YOL021C,-0.0,158
