,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YKL155C,0.0015825291947172,308,YDR490C,0.0069231360746407,831,YOR013W,0.0019158457510679,95,YKR011C,0.0019929396248651,233,YJL204C,0.0022732768110583,590,YPL133C,0.001426263051238,675,YBR216C,0.001378704409363,38,YML053C,0.0024560403063539,297,YDR314C,0.0017549644701322,839,YJR103W,0.0009351899933817,603,YKR099W,0.0025094918631354,935,YKR092C,0.0014162408997129,663
1,YOR246C,0.001328470156932,281,YGR274C,0.0055803466788596,576,YNL084C,0.0018466790881812,656,YOR011W,0.0019579952606117,404,YLR133W,0.0021193588674371,202,YOR373W,0.0011479834986071,788,YOR066W,0.0012375914179751,690,YER001W,0.0017876321854858,834,YJL002C,0.0016386428097272,593,YPL068C,0.0008625842274666,230,YLR335W,0.0018643081019271,1109,YLR316C,0.0013473057471968,416
2,YML081W,0.001310519900338,191,YKL216W,0.0052813788318459,407,YOL076W,0.0015525483506193,164,YDR495C,0.0019346331113913,16,YLR072W,0.0017921857059706,1007,YJL095W,0.0011223014654709,732,YLR318W,0.0011674358153289,43,YOR373W,0.0016622200453125,729,YNL220W,0.0014474207068344,332,YGR287C,0.0007608952467725,417,YKL222C,0.0018185253086338,753,YBR299W,0.0012120044663683,32
3,YGR013W,0.0012518242590821,658,YKR095W,0.0050005854931434,1565,YCL038C,0.0015471216419791,743,YOL130W,0.0018498035754096,5,YGL141W,0.0017797778332119,185,YHR139C,0.0011103789882959,159,YDR317W,0.0011431181554082,139,YJL204C,0.0015842080924451,590,YPL166W,0.001418336342579,337,YAL067C,0.0007475299902281,215,YJL154C,0.0017311016803508,311,YPL212C,0.0011209290089839,349
4,YOR177C,0.0011747754732063,103,YDR135C,0.0048799372066956,13,YGL152C,0.0014132806012232,362,YOL105C,0.0018280392350092,797,YBR069C,0.0016921888531162,143,YNL097C,0.0011092162434349,635,YOR389W,0.0010761885801474,612,YDR451C,0.0015594357398323,408,YDR338C,0.0013912644085061,822,YKL106W,0.0007038258234868,217,YNL234W,0.0017241751147497,575,YHR047C,0.0010756873497106,857
5,YDR470C,0.0011201854818332,525,YBL009W,0.0048154333382528,479,YOR116C,0.0012980297670768,180,YLR086W,0.0018231690016646,1451,YDL191W,0.0015953628997667,135,YPL146C,0.0011005178320481,249,YCR032W,0.0010604662634851,212,YMR180C,0.0015560020675363,123,YGL128C,0.001358860992134,263,YKL071W,0.0006866754227895,262,YBL043W,0.0016985942042421,438,YHR217C,0.0010470593904497,467
6,YPL106C,0.0011167426897703,1813,YAL019W,0.0047821132471221,1328,YJR004C,0.0012959578646101,7,YDR009W,0.0017773900244512,164,YBR289W,0.0015525654569305,1282,YPL125W,0.0010729671143735,243,YLR100W,0.0010523534087131,169,YPL164C,0.0015432163059783,420,YOR164C,0.0013541534606374,534,YBR207W,0.0006864353371279,616,YOL142W,0.0016817540501941,55,YLR450W,0.0010260607129823,1104
7,YGR059W,0.0010809405708355,49,YMR170C,0.0046461065013289,107,YNL088W,0.0012957202672157,139,YLR098C,0.0017742296765861,196,YGR274C,0.0014939347752129,476,YDR365C,0.0010131682715271,1109,YAL046C,0.0010148470440477,6,YPR109W,0.0015220014633086,109,YNL132W,0.001289857527291,1337,YNR006W,0.0006655360882241,110,YBL060W,0.0016716292147176,434,YER022W,0.0009820516831557,623
8,YML076C,0.0009857968201728,500,YLR345W,0.0045786765044212,143,YOL002C,0.0011903587069046,473,YLR454W,0.0017359800300556,2734,YER098W,0.0014586546212544,282,YLR130C,0.0009678193701391,421,YJR057W,0.0010124886420606,260,YLR460C,0.0014779716802184,320,YOR028C,0.0012849558242485,269,YNR047W,0.0006527924632835,799,YDL077C,0.0016046759262189,1555,YFR011C,0.0009695923913956,221
9,YCR046C,0.0009715177479066,161,YBR218C,0.0044881376291089,503,YCL043C,0.0011578636073102,12,YDR028C,0.0017279426187579,1392,YPL014W,0.0014327520365105,208,YKL149C,0.000939070134043,491,YBR279W,0.0010011238104346,100,YJL216C,0.0014749180642841,668,YMR171C,0.0012608326174505,571,YIR023W,0.0006490007482371,307,YLR420W,0.0015903880643478,206,YIR023W,0.0009332971608295,307
