,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YNL179C,0.0571194050720907,178,YBL089W,0.0023392671246184,824,YEL016C,0.5225853165515923,464,YDR496C,0.5926800616107621,1484,YJR016C,0.0596400618086196,842,YCL059C,0.0,222,YPL259C,0.4838307722622967,1067,YAR019C,0.5639776998075015,2553,YDR345C,0.0940974750941535,540,YCL059C,-0.0,107,YCL059C,-0.0,107,YCL059C,-0.0,107
1,YML015C,0.047516731362001,176,YML131W,0.0021340153276838,635,YER066W,0.484665307448805,272,YMR089C,0.5839272163793848,500,YCR087W,0.0553966785111355,260,YBR197C,0.0,158,YKR032W,0.4023108949663135,104,YIL152W,0.5108642599022206,243,YKR036C,0.0754483888929117,540,YHR011W,0.0,986,YBR197C,0.0,544,YHR061C,0.0,777
2,YEL062W,0.0363093168752631,593,YOR079C,0.0015458948043246,720,YIL126W,0.4031815226702936,660,YOR258W,0.5834251048624463,506,YJL094C,0.0464564091347192,1175,YBR197C,0.0,137,YLR251W,0.3814411612017149,17,YGR289C,0.4507885653695045,646,YLR114C,0.073678987071151,2425,YHR011W,0.0,931,YBR197C,-0.0,493,YHR061C,-0.0,655
3,YLR130C,0.0331927942378109,1259,YPR173C,0.0009537158732683,342,YBR098W,0.3824586209303137,415,YLR347C,0.5600419930525027,1290,YER056C,0.0453335870275376,1091,YBR197C,0.0,137,YLR321C,0.3739933378305777,941,YDR387C,0.3913430610415093,1240,YCR093W,0.0691473615916093,2756,YHR011W,-0.0,931,YBR197C,0.0,493,YHR061C,0.0,655
4,YEL007W,0.033141904168676,1734,YNR060W,0.0007488594332411,2033,YBR207W,0.363416276627382,1347,YDL115C,0.5407119598725895,23,YMR326C,0.0442147351357967,50,YBR197C,-0.0,137,YOR304W,0.3410290058129933,122,YOR010C,0.3628709055209897,714,YOL116W,0.0684073151192848,194,YHR011W,-0.0,941,YBR197C,-0.0,513,YHR061C,-0.0,655
5,YGL105W,0.0309776725430253,371,YDR020C,0.0006685438169765,161,YJR146W,0.2997923050181149,8,YPR085C,0.5298584537240382,695,YNL338W,0.0416740501404062,269,YBR197C,0.0,137,YDL114W,0.3245667343446407,329,YOR386W,0.3120756381305963,858,YJR162C,0.0652427435959404,55,YHR011W,0.0,941,YBR197C,0.0,513,YHR061C,0.0,655
6,YKR047W,0.0303094972573222,210,YOR307C,0.0004809784423069,751,YBR228W,0.2791017731137006,465,YOL026C,0.5289220845095117,164,YDR173C,0.035994885827367,1006,YBR197C,0.0,139,YGL208W,0.311254037854049,644,YPR079W,0.2852680905574796,847,YNL337W,0.0590315899280438,2,YHR011W,-0.0,941,YBR197C,-0.0,513,YHR061C,0.0,655
7,YDR511W,0.0292390466850893,388,YGR127W,0.0004196748643265,457,YOR073W,0.2576059701165509,479,YLR461W,0.5241081176135179,245,YAR029W,0.0344342838947609,49,YBR197C,-0.0,139,YHR091C,0.2997815815092659,1645,YML024W,0.2631010809460873,195,YNL338W,0.0510158961554769,269,YHR011W,-0.0,986,YBR197C,-0.0,544,YHR061C,-0.0,769
8,YKR083C,0.0268024778757904,97,YDL115C,0.0003705251678979,23,YPL274W,0.2411079393626536,1560,YER158C,0.4914681377556243,449,YLL008W,0.034118469405128,676,YBR197C,-0.0,139,YDL183C,0.2819121429224525,692,YKL161C,0.2411541272629823,29,YIL063C,0.0490328146224073,857,YHR011W,0.0,986,YBR197C,-0.0,544,YHR061C,0.0,769
9,YKR064W,0.0257880466808999,1113,YLR362W,0.0003423618279681,188,YML093W,0.2332202304780653,2145,YNL094W,0.4744751834006031,1013,YMR016C,0.0302660510903224,374,YBR197C,-0.0,158,YJR144W,0.2661773815790967,719,YDL166C,0.2372465221569349,173,YNR061C,0.0473297158958959,204,YHR011W,0.0,134,YHR011W,0.0,931,YHR061C,-0.0,777
10,YKR068C,0.025289093385627,569,YJL090C,0.0003289553378086,771,YJL100W,0.1764692325630234,478,YBL016W,0.4702043487809416,125,YNL109W,0.0295824900228453,206,YCR106W,0.0,1369,YDL036C,0.2643950106015995,477,YKL223W,0.2225229794093756,44,YAL065C,0.0447272062485732,277,YBR197C,0.0,168,YBR197C,-0.0,401,YOL021C,-0.0,672
11,YPL112C,0.0243786771757387,1109,YKL212W,0.0001966259483188,1161,YLR144C,0.1583824317448253,11,YDR191W,0.4270115177161038,788,YKL163W,0.029255118710808,912,YBR197C,-0.0,158,YBR126C,0.257778595892176,680,YJL216C,0.2054294568442241,878,YDL158C,0.0431154766896137,89,YHR011W,-0.0,134,YHR011W,-0.0,931,YHR061C,0.0,837
12,YOR196C,0.0239589585553095,1184,YPL163C,0.0001916252155235,170,YOR184W,0.154765843067252,131,YHL027W,0.4123845658506424,1017,YGR070W,0.0272947985380783,692,YBR197C,0.0,168,YCR098C,0.2537131930280864,280,YHL045W,0.190465613632274,200,YJL047C,0.0417142519736013,1631,YHR011W,-0.0,1124,YHR011W,0.0,959,YHR061C,-0.0,837
13,YFL014W,0.023861799159689,77,YAL067C,7.382360160794657e-05,476,YOR161C,0.1474628846947103,489,YGR127W,0.3831657138989023,457,YGR118W,0.0270752910448042,152,YBR197C,-0.0,168,YIL127C,0.2528796410072078,231,YBR112C,0.1799448475863252,2059,YFR030W,0.039003543453257,2618,YHR011W,0.0,1124,YHR011W,-0.0,959,YOL021C,0.0,41
14,YMR209C,0.0231810649768445,1078,YNL007C,4.439054497076541e-05,590,YHR216W,0.1319337103453097,1248,YNL007C,0.3560886080295824,590,YOL057W,0.0265814863166568,1091,YBR197C,0.0,168,YJR078W,0.2434553077631154,1322,YBL075C,0.1745947395171392,633,YLR409C,0.0387286056071083,1604,YHR011W,-0.0,1124,YHR011W,-0.0,959,YOL021C,0.0,41
15,YKR010C,0.0227806226965905,917,YHR061C,-0.0,653,YOR275C,0.1309883331618116,1184,YOR196C,0.3376920336956467,1184,YLR096W,0.0262930349905561,2037,YBR197C,0.0,290,YIL010W,0.2385369260672387,97,YDR326C,0.174069513843471,3791,YPL032C,0.0365906206392943,1586,YHR011W,0.0,1127,YHR011W,0.0,959,YOL021C,0.0,41
16,YIL149C,0.0224537734955504,3522,YHR011W,-0.0,347,YJR078W,0.1287624341430763,1322,YAL067C,0.3252357840648395,483,YDR421W,0.025470798878201,406,YBR197C,-0.0,290,YIR037W,0.2295363468227068,466,YDR038C,0.1733568261033545,3086,YFL046W,0.0364740752296571,27,YHR011W,-0.0,1127,YHR011W,0.0,959,YOL021C,-0.0,41
17,YJL123C,0.0224258150545647,491,YHR011W,0.0,445,YLR321C,0.1280548389124231,941,YFR004W,0.31805785154778,758,YCR108C,0.0250148384539538,380,YBR197C,-0.0,290,YOR161C,0.2139682516772367,489,YEL059W,0.1631815164746109,101,YAR030C,0.0361988590098739,50,YHR011W,-0.0,1127,YHR011W,0.0,1124,YOL021C,-0.0,672
18,YCR071C,0.0223725681027091,133,YHR011W,-0.0,445,YMR180C,0.1278250279333001,586,YJL205C,0.2776887329183558,232,YAL029C,0.0233844614395675,4022,YBR197C,0.0,118,YIL058W,0.1762712929057659,146,YDR173C,0.1627728568702006,1006,YKL223W,0.0354725516744446,43,YBR197C,0.0,563,YBR197C,0.0,401,YHR061C,0.0,627
19,YCL055W,0.0216085854269669,433,YHR011W,-0.0,599,YPL133C,0.1229683115181747,239,YDR184C,0.2773592925626335,234,YIL062C,0.0228364001867596,182,YBR197C,-0.0,118,YMR044W,0.1638677862821491,761,YDR133C,0.1617689485010545,215,YHL008C,0.0347857752097282,44,YBR197C,-0.0,563,YBR197C,-0.0,401,YHR061C,-0.0,627
20,YLR414C,0.0214458445262512,366,YHR011W,0.0,599,YHR091C,0.1152118557164786,1645,YKR068C,0.2609557770739635,569,YDR068W,0.0227287019663612,776,YBR197C,-0.0,118,YJR153W,0.1407508926870687,722,YOR249C,0.156560432631401,1943,YHR134W,0.0342283049471609,644,YBR197C,0.0,563,YFR032C,-0.0,100,YHR061C,-0.0,627
21,YIR003W,0.0213125840381936,1789,YHR061C,0.0,655,YPL065W,0.1137376155024439,690,YFL021W,0.2534968498123415,99,YAR028W,0.0224564421160205,613,YBR197C,-0.0,118,YDR348C,0.1359244628926211,862,YIL048W,0.1409221665276976,908,YOR071C,0.0337890166080488,799,YBR197C,-0.0,563,YBR197C,-0.0,110,YHR061C,-0.0,585
22,YOR263C,0.0210451196531339,407,YHR061C,-0.0,655,YIL127C,0.0982762137868456,231,YBR213W,0.2493030192165497,134,YBL075C,0.0221592505672928,633,YCR106W,0.0,1408,YNL189W,0.118384610200958,1344,YMR318C,0.1376860006737289,95,YOR010C,0.0329932885617566,472,YBR197C,0.0,181,YBR197C,-0.0,44,YGR213C,0.0,760
23,YML132W,0.0208769875382634,1039,YHR011W,-0.0,599,YOL133W,0.0960774787647949,68,YEL007W,0.2477735800080885,1734,YJL212C,0.0219906832755868,1328,YCR106W,-0.0,1408,YGR209C,0.1183448428738352,149,YLL009C,0.1284422831717787,74,YOR027W,0.0328961467561485,735,YBR197C,0.0,181,YBR197C,0.0,44,YGR213C,-0.0,760
