,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YDL021W,0.0027744177246244,401,YCR067C,0.0022427754306004,1332,YLR095C,0.0015599169407329,2608,YGR277C,0.0025920387594544,812,YKL194C,0.0029716014779262,28,YDR379W,0.0017845578212145,798,YMR027W,0.0014891604546894,208,YKL194C,0.0012991500199559,28,YJL144W,0.0015765865031599,10,YNR026C,0.0019189429587938,809,YLR319C,0.001616879808012,1423,YGR287C,0.0014548714644688,1848
1,YLR384C,0.0023794571204138,3869,YOL149W,0.0021442232241523,113,YDL160C,0.0012320701660808,1427,YDR515W,0.0024689695627236,661,YJL212C,0.0019655005251441,1328,YDR516C,0.0017632999048992,506,YGR099W,0.0013678751326421,1005,YGR284C,0.0012204459648504,830,YDR176W,0.0015382771773287,1181,YNL331C,0.0018545715479804,707,YMR070W,0.0014300504861537,621,YAR027W,0.0012291566345139,560
2,YAL027W,0.0020925958393837,472,YKR093W,0.0020858318221211,1782,YMR180C,0.0012170433121101,586,YEL025C,0.0021923386848567,575,YIL058W,0.0017554831782206,25,YDR371W,0.0016849185862638,292,YLL049W,0.001039617452349,192,YHR093W,0.0010994524903056,213,YJL146W,0.0015315564426654,313,YPR086W,0.0016947939523481,53,YBR097W,0.001304439926647,818,YHR217C,0.0010950441152337,468
3,YKL015W,0.002050379867089,1687,YGL227W,0.0020553913450267,191,YLR237W,0.0011588039639506,1296,YPR029C,0.0021710218474422,1603,YJL200C,0.0017425755993955,2238,YDR074W,0.0014715947116663,399,YKL183W,0.0010232273081548,743,YLR340W,0.0010440688461512,83,YGR125W,0.0014729085634598,1478,YKL119C,0.0016729668428287,356,YCR107W,0.0011938684158549,691,YMR317W,0.0010587522673329,3116
4,YKR095W,0.0019163879643692,4808,YGR169C,0.0019857215011332,1185,YGR212W,0.0010105239044088,448,YGL206C,0.0019430616156464,2101,YGL232W,0.0016832180208969,846,YOR066W,0.0013147219539388,917,YCL017C,0.0010021261437181,1049,YDR133C,0.0010283809047871,107,YDR058C,0.0014215249145482,644,YOR162C,0.0015793621486293,407,YPR062W,0.0011205966856272,9,YPL131W,0.0009949475846089,233
5,YEL007W,0.0018948251984815,1997,YKR095W,0.0019598183483358,5170,YOR073W,0.0009972653794488,455,YKR095W,0.0018138840501174,5170,YFL007W,0.0015592275623167,3673,YOR100C,0.0012095988512673,138,YOR119C,0.0009838838263484,320,YLR290C,0.0010086206392391,445,YLR104W,0.0013193158378257,268,YKL207W,0.0013685378435504,125,YGL075C,0.0010793854967762,852,YNL161W,0.0009914010271947,915
6,YOR389W,0.001886377038759,1162,YJL124C,0.0018604473076646,366,YDL160C,0.0009587951436398,1425,YDL137W,0.0017801074516913,100,YMR016C,0.0015007663489521,374,YNR062C,0.0011846009102398,239,YOR360C,0.0009739774487591,272,YMR318C,0.0009994223803759,95,YOR087W,0.0012840458243494,1631,YNL255C,0.0012976510006322,371,YER092W,0.0010673604519752,7,YCR067C,0.000959167095477,1466
7,YMR205C,0.001881674306332,920,YML006C,0.0018362387858081,807,YCR035C,0.0009109845970163,798,YGR164W,0.001710495308824,84,YLR339C,0.0014352332335761,236,YNR069C,0.0011490807285518,188,YJL025W,0.0009399484284721,1177,YNL208W,0.0009775238355467,161,YDR509W,0.0012109779561109,146,YLR362W,0.0012769889656377,692,YOL006C,0.001022038906144,365,YOR051C,0.0009229773694168,620
8,YJL071W,0.001868846705822,320,YLR032W,0.0017933274918417,47,YKL145W,0.0009059669777924,620,YHR158C,0.001688775232788,1696,YCR023C,0.0014046599161795,308,YMR024W,0.0011401829499988,653,YOR132W,0.0009073644501903,133,YOR306C,0.0009576181848816,19,YDL234C,0.0012030812932668,670,YPR192W,0.001211133826972,87,YLR185W,0.0009991049840208,353,YKL205W,0.0008135850209654,3061
9,YIL109C,0.0018252181610621,943,YMR024W,0.0017896446145888,19,YOR259C,0.0008989230384984,1181,YDL199C,0.0016752105447762,1864,YER098W,0.0013969499743831,613,YDL148C,0.0011357674608392,1364,YIL075C,0.0008357895614342,1597,YHR038W,0.0009370011582131,51,YDR220C,0.0012023905077425,191,YKL129C,0.0011999328967204,3844,YPR154W,0.0009970396607047,565,YIL047C,0.0007958591819225,2158
10,YLR032W,0.0017975950508072,47,YKL168C,0.0017882887771616,89,YGL007W,0.0008723296777903,17,YPR155C,0.0016680396437464,417,YER113C,0.0013543989118552,731,YHL007C,0.0011278221640189,833,YPL237W,0.000825124420984,761,YHR093W,0.0009139315840218,236,YKR068C,0.0011694657179117,569,YOR125C,0.0011459685319092,17,YJL140W,0.0009901091103711,315,YBR031W,0.0007542363394847,731
11,YGL053W,0.0015759008804596,206,YBR289W,0.0017808043309567,2810,YKR052C,0.0008613060204646,235,YHL007C,0.0016676098352017,1349,YOL068C,0.0013378721737022,1345,YDR322W,0.0011018072203503,98,YGL150C,0.0008088280951288,1310,YLR051C,0.0008839188671888,506,YHR061C,0.0011527630739426,653,YIL085C,0.0011258077645164,338,YOR027W,0.0009730077253108,1266,YFL017C,0.000749748554096,74
