,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YHR211W,0.0042828197795421,155,YJR023C,0.000274642010653,106,YNL017C,0.0603946113354735,91,YNR044W,0.1372743257917888,821,YJR162C,0.0030046319685198,85,YNR065C,0.0001894135572072,1443,YGR138C,0.0458639155637392,448,YJL020C,0.0940650703611068,530,YFL019C,0.0060100184922827,43,YMR173W,0.0043765021917922,1647,YOL146W,0.0075403462647326,17,YKR045C,0.0064364494053975,340
1,YLR202C,0.0035980586758671,282,YDL243C,0.0002340808063799,115,YEL033W,0.0559936445973269,281,YNR044W,0.1362254009614872,820,YLR255C,0.0029874099826579,214,YHR211W,0.0001800254541467,140,YNR044W,0.0421997164764504,753,YJL020C,0.0894590726650832,533,YIR019C,0.0045767941238105,2166,YMR173W,0.0040046480297156,2003,YBR289W,0.0061063750151529,924,YLR311C,0.0060728143539256,173
2,YJR023C,0.003529838016962,106,YKR072C,0.0001851669833488,941,YFR016C,0.052119713189331,1529,YOR153W,0.1333766440360907,773,YJR023C,0.0027944217437564,106,YNL336W,0.0001467002505154,688,YOL146W,0.0416400591726962,17,YNR065C,0.08924216286561,1443,YLR311C,0.0042791574473847,174,YLR311C,0.0035575950850745,174,YLR311C,0.0052676844146981,147,YMR173W,0.0048310688102277,2003
3,YDL188C,0.0035279047742187,233,YMR173W,0.000183652395329,1647,YNL179C,0.0509525069681809,119,YDL243C,0.1104845479394673,115,YPL277C,0.0027733218553447,592,YDR543C,0.000136530159714,157,YLR434C,0.0395872451053748,185,YOR388C,0.0753093027701672,129,YMR173W,0.0041525402907782,849,YNR072W,0.0032597092095487,854,YGR138C,0.0050307950453727,448,YJL020C,0.0046385080311575,2926
4,YOR199W,0.0034224427770317,35,YOR053W,0.000177560017584,126,YDL243C,0.0490272923525136,255,YHR211W,0.0969155490511911,155,YLR311C,0.0027458245842081,174,YJL020C,0.0001356780649644,533,YLR434C,0.0383009519261648,190,YHR211W,0.0735599578860619,140,YNL209W,0.0039408686329776,498,YJL159W,0.0032154246032907,648,YOR054C,0.0049433342855311,1227,YJL020C,0.0046385080311575,2896
5,YKL223W,0.0032942677180269,48,YBR150C,0.000168095564478,1421,YKL202W,0.0472936691155553,483,YEL033W,0.0872981909870191,268,YLR255C,0.0027017669216053,215,YBR150C,0.0001353936073247,1421,YMR070W,0.038115372545703,124,YDR544C,0.0733917860261087,434,YLR202C,0.0038286020240176,282,YJL159W,0.0032154246032907,645,YFR016C,0.0048213056571612,1090,YNR044W,0.0043274994571165,699
6,YIR019C,0.0032045153634574,2522,YKR040C,0.0001635107642977,435,YCL024W,0.0466131203311552,703,YDL243C,0.0848391314653878,255,YJL020C,0.0026665375452602,530,YAR071W,0.0001342542215827,905,YNR073C,0.0378563069301694,286,YMR273C,0.0709674978389683,2530,YLR255C,0.003800450094741,214,YOR053W,0.0031719376348925,327,YLR434C,0.0047728004790394,185,YOR053W,0.0042457034521185,132
7,YDL243C,0.0031992063421641,115,YMR173W,0.0001622322727088,823,YCL025C,0.0463224275979123,695,YMR173W,0.0835568474657117,1647,YLR255C,0.0026344766859994,182,YIR040C,0.0001287658506107,161,YOR153W,0.0376530662045274,544,YBR150C,0.0706428380634477,1421,YGR167W,0.0037777852852399,261,YPR022C,0.0031505535695956,654,YLR434C,0.0046866681735031,190,YNR044W,0.0042059200204357,821
8,YCR108C,0.0031583468433852,53,YDR038C,0.000153848840803,2207,YNR044W,0.0458543209288973,820,YDL188C,0.0807277287721853,233,YLR255C,0.0026344766859994,220,YFL059W,0.0001260687313866,650,YGR214W,0.0375860649770537,189,YLR255C,0.0680907480794629,214,YDL188C,0.0033594600330582,233,YAL065C,0.0031162595032751,28,YFL062W,0.0045521126311365,27,YAR050W,0.0040853335185711,3206
9,YCR075C,0.0031005183174028,234,YOR053W,0.0001524966864335,77,YKL202W,0.0457961106809728,269,YKR072C,0.0793147340883987,941,YLR255C,0.0026344766859994,224,YDR544C,0.0001238479643299,434,YOR388C,0.0371967892871715,129,YDR543C,0.066167333185344,157,YIL169C,0.0033394174677142,432,YLL052C,0.0028992968503695,163,YIR019C,0.0045215282138104,368,YKL202W,0.0040695889689642,440
