Experimento,Fenotipo,Modelo,FDR,Enriquecimiento,# posiciones teloméricas (izquierda),# posiciones teloméricas (derecha),,,,
1,SM300-Efficiency,Lasso,0.1,No,6,14,,,Modelos,
1,SM60-Efficiency,Random Forest,0.1,No,7,2,,,Ridge,8
1,Ratio-Efficiency,Random Forest,0.1,No,5,5,,,Lasso,5
1,SM300-Rate,Random Forest,0.1,Sí,7,10,,,Random Forest,35
1,SM60-Rate,Random Forest,0.1,Sí,4,11,,,,48
1,Ratio-Rate,Random Forest,0.1,No,4,7,,,,
1,SM300-Lag,Random Forest,0.1,Sí,0,12,,,Enriquecidos,18
1,SM60-Lag,Lasso,0.1,Sí,2,7,,,,
1,Ratio-Lag,Random Forest,0.1,No,4,3,,,,
1,SM300-AUC,Lasso,0.1,No,5,5,,,,
1,SM60-AUC,Random Forest,0.1,No,1,7,,,,
1,Ratio-AUC,Random Forest,0.1,No,5,7,,,,
2,SM300-Efficiency,Random Forest,0.1,Sí,2,5,,,,
2,SM60-Efficiency,Random Forest,0.1,Sí,4,2,,,,
2,Ratio-Efficiency,Random Forest,0.1,No,4,2,,,,
2,SM300-Rate,Ridge,0.1,Sí,5,6,,,,
2,SM60-Rate,Random Forest,0.1,No,1,3,,,,
2,Ratio-Rate,Random Forest,0.1,No,1,8,,,,
2,SM300-Lag,Ridge,0.1,Sí,3,5,,,,
2,SM60-Lag,Ridge,0.1,Sí,2,5,,,,
2,Ratio-Lag,Random Forest,0.1,No,4,3,,,,
2,SM300-AUC,Random Forest,0.1,No,1,0,,,,
2,SM60-AUC,Random Forest,0.1,No,1,3,,,,
2,Ratio-AUC,Random Forest,0.1,No,3,3,,,,
3,SM300-Efficiency,Random Forest,0.1,No,2,4,,,,
3,SM60-Efficiency,Ridge,0.1,Sí,3,9,,,,
3,Ratio-Efficiency,Random Forest,0.1,Sí,3,2,,,,
3,SM300-Rate,Random Forest,0.1,Sí,3,2,,,,
3,SM60-Rate,Ridge,0.1,Sí,7,6,,,,
3,Ratio-Rate,Random Forest,0.1,No,0,1,,,,
3,SM300-Lag,Random Forest,0.1,No,0,3,,,,
3,SM60-Lag,Random Forest,0.1,Sí,2,5,,,,
3,Ratio-Lag,Lasso,0.1,No,0,0,,,,
3,SM300-AUC,Random Forest,0.1,No,5,1,,,,
3,SM60-AUC,Random Forest,0.1,No,1,2,,,,
3,Ratio-AUC,Random Forest,0.1,No,0,4,,,,
4,SM300-Efficiency,Random Forest,0.1,No,3,4,,,,
4,SM60-Efficiency,Random Forest,0.1,Sí,1,5,,,,
4,Ratio-Efficiency,Random Forest,0.1,No,2,1,,,,
4,SM300-Rate,Random Forest,0.1,Sí,2,6,,,,
4,SM60-Rate,Lasso,0.1,No,1,1,,,,
4,Ratio-Rate,Random Forest,0.1,No,3,5,,,,
4,SM300-Lag,Ridge,0.1,Sí,3,1,*Presenta un gráfico extraño,,,
4,SM60-Lag,Ridge,0.1,No,6,5,,,,
4,Ratio-Lag,Ridge,0.1,Sí,3,5,,,,
4,SM300-AUC,Random Forest,0.1,No,1,1,,,,
4,SM60-AUC,Random Forest,0.1,No,3,4,,,,
4,Ratio-AUC,Random Forest,0.1,No,3,11,,,,
