,index,feature,absolute_error,filename
0,1305,YKL146W_x13_g,0.005447705834336933,YKL146W
1,1304,YKL146W_x13_a,0.005117943244261758,YKL146W
2,586,YOR054C_x39_-,0.004853689011472233,YOR054C
3,1713,YBL074C_x7_t,0.0043829084852154195,YBL074C
4,2006,YCL014W_x24_t,0.004274424660809298,YCL014W
5,1097,YAL036C_x17_g,0.004239585694449915,YAL036C
6,1205,YDR169C_x3_a,0.0037237148054695577,YDR169C
7,226,YDR216W_x9_g,0.003524873617258467,YDR216W
8,568,YOR175C_x9_c,0.003498733086445666,YOR175C
9,1712,YBL074C_x7_c,0.0034053335549198357,YBL074C
10,687,YLR054C_x22_g,0.003256707952724221,YLR054C
11,1469,YPR008W_x1_t,0.0031857780202377175,YPR008W
12,1966,YIR023W_x34_c,0.0030923294995567788,YIR023W
13,1952,YIR023W_x3_-,0.003072501298597293,YIR023W
14,818,YPR013C_x1_t,0.003059108395841175,YPR013C
15,164,YLR460C_x12_a,0.0029769009533437587,YLR460C
16,1074,YKL074C_x7_c,0.0029647776692579256,YKL074C
17,605,YOR054C_x72_c,0.002936085499827954,YOR054C
18,2001,YCL014W_x15_a,0.0029053736603749784,YCL014W
19,2100,YML117W_x0_g,0.0028980882931818486,YML117W
20,686,YLR054C_x22_a,0.00288099907668014,YLR054C
21,2043,YBL037W_x4_a,0.0028556270864025864,YBL037W
22,1705,YBL074C_x3_g,0.0028381918136387387,YBL074C
23,18,YEL023C_x12_t,0.0027708504076186095,YEL023C
24,1096,YAL036C_x17_a,0.00276557909070759,YAL036C
25,1532,YNL027W_x13_a,0.0027327887907032627,YNL027W
26,893,YDR056C_x8_g,0.0027128604258207104,YDR056C
27,17,YEL023C_x12_c,0.002644144794031391,YEL023C
28,1621,YCR033W_x14_a,0.002643394144543509,YCR033W
29,1365,YNR044W_x188_-,0.0026420481115076067,YNR044W
30,968,YDR221W_x17_t,0.0026331053863048004,YDR221W
31,82,YLR389C_x22_c,0.002599300843996709,YLR389C
32,2099,YML117W_x0_a,0.002535154796632224,YML117W
33,1623,YCR033W_x15_c,0.002493477569799379,YCR033W
34,993,YPR112C_x20_a,0.002490121505777124,YPR112C
35,1497,YBR115C_x24_a,0.002474437863230935,YBR115C
36,2002,YCL014W_x15_g,0.0024648699045010753,YCL014W
37,1210,YDR169C_x8_g,0.002450503474396695,YDR169C
38,608,YNR012W_x0_t,0.002445541155901326,YNR012W
39,1209,YDR169C_x8_a,0.0024088648250273517,YDR169C
40,1957,YIR023W_x4_g,0.0024033403234831464,YIR023W
41,83,YLR389C_x22_t,0.0023857135938936246,YLR389C
42,604,YOR054C_x72_a,0.002383209858617922,YOR054C
43,737,YLR289W_x2_g,0.0023769975500665366,YLR289W
44,601,YOR054C_x69_c,0.0023599155089319463,YOR054C
45,1472,YPR008W_x5_a,0.0023415054975675777,YPR008W
46,23,YMR303C_x0_g,0.0023411913308762004,YMR303C
47,677,YLR054C_x8_t,0.002340897060308705,YLR054C
48,676,YLR054C_x8_c,0.0023101375845039685,YLR054C
49,1960,YIR023W_x25_a,0.002310017874310392,YIR023W
50,1426,YNL275W_x0_a,0.0023085271514012157,YNL275W
51,577,YOR054C_x1_g,0.0022741343207748634,YOR054C
52,595,YOR054C_x54_-,0.0022499300556988186,YOR054C
53,1982,YJL079C_x4_g,0.0022147494018744697,YJL079C
54,967,YDR221W_x17_c,0.0022069114578647216,YDR221W
55,817,YPR013C_x1_c,0.0022067177253933088,YPR013C
56,1980,YJL079C_x3_t,0.0022000973931292044,YJL079C
57,892,YDR056C_x8_a,0.002176947778231022,YDR056C
58,811,YKR097W_x12_a,0.0021658213069487135,YKR097W
59,588,YOR054C_x39_t,0.002137928410727848,YOR054C
60,1378,YNR044W_x255_t,0.002078267549964239,YNR044W
61,593,YOR054C_x51_c,0.0020693612123122906,YOR054C
