,filenames,original_length,clean_length,percentage,index
3682,YLL066C,3717,1,0.9997309658326607,1
3449,YJL222W,4650,3,0.9993548387096775,2
4679,YDL247W,1830,2,0.9989071038251366,3
975,YHL049C,817,1,0.9987760097919217,4
5991,YPR204W,3099,4,0.9987092610519522,5
2251,YAR066W,612,1,0.9983660130718954,6
5832,YJR159W,1074,2,0.9981378026070763,7
5487,YLL067C,3720,10,0.9973118279569892,8
5004,YLR161W,345,1,0.9971014492753624,9
4975,YBL112C,318,1,0.9968553459119497,10
4284,YLR463C,552,2,0.9963768115942029,11
1675,YHR054C,1066,4,0.9962476547842402,12
4652,YDL245C,1704,7,0.9958920187793427,13
1845,YFL061W,678,3,0.995575221238938,14
2664,YPL281C,1314,10,0.9923896499238964,15
4695,YOR393W,1314,11,0.9916286149162862,16
4507,YER190W,5049,50,0.9900970489205784,17
5457,YHR055C,186,2,0.989247311827957,18
5896,YFL065C,309,4,0.9870550161812298,19
4745,YFL066C,1189,16,0.9865433137089992,20
2638,YLR462W,609,9,0.9852216748768473,21
1162,YJL221C,1770,27,0.9847457627118644,22
3428,YDR385W,2529,41,0.9837880585211546,23
4717,YNR076W,363,7,0.9807162534435262,24
4664,YLL064C,363,8,0.977961432506887,25
