,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YKL202W,0.0044647481157228,145,YKL202W,0.0001873682118315,145,YDR150W,0.0965414700242838,2040,YKL202W,0.1422125004498486,145,YOR153W,0.0047265108173578,11,YHL048W,0.0001177737874241,44,YAR050W,0.1324295654308181,190,YHL048W,0.1224449454221911,44,YOR153W,0.0052044687549995,359,YCR108C,0.0033400854187814,10,YJL219W,0.0066968199797391,19,YOR153W,0.0039838198945339,201
1,YOL105C,0.0034221630285257,496,YOR305W,0.0001459520023974,162,YKL163W,0.095326965941495,156,YEL033W,0.1297150348348687,22,YNL161W,0.0043139337783365,625,YOR153W,0.0001149932880288,11,YDR150W,0.1312565478494523,2040,YKL202W,0.0922801556087238,21,YKL202W,0.0050332669521678,34,YOR153W,0.0032926336485379,201,YHR141C,0.006176393275516,64,YGL259W,0.0038457807436135,18
2,YOR305W,0.0033020584429502,162,YOL105C,0.0001409073237123,496,YNL112W,0.092668864501911,329,YEL033W,0.1297150348348687,23,YNL161W,0.0043139337783365,624,YKL202W,9.711748057097502e-05,41,YHL048W,0.1251758083039639,44,YAL063C,0.089126796558758,26,YNR044W,0.0045624434190743,537,YOL157C,0.0032454772417256,26,YHR141C,0.0061450135559914,72,YGL259W,0.0037263195405485,26
3,YOR305W,0.0030723594565712,176,YBL035C,0.0001253094427068,3,YJL159W,0.0874454839101332,47,YOR305W,0.1189869873806266,162,YAL063C,0.0042726542726452,26,YKL202W,9.711748057097502e-05,34,YJR126C,0.1148490631226226,34,YKL202W,0.0860704030712005,41,YNL161W,0.0044795683234939,548,YGL259W,0.0032412839112217,18,YFR016C,0.0058645498736099,132,YHR141C,0.0035776081982136,72
4,YJR162C,0.0030586274775453,53,YKL202W,0.0001251314784173,21,YHR211W,0.0862249382991271,49,YKL202W,0.1113683351778236,21,YKL202W,0.0041456684312252,21,YOR153W,9.547016057579668e-05,223,YGL062W,0.089988790701669,0,YKL202W,0.0860704030712005,34,YJR126C,0.0043920457068767,34,YBR112C,0.0031613419731209,183,YGR023W,0.0051876008913904,281,YAR050W,0.0034969980335024,190
5,YCR108C,0.0029943400235722,15,YOR305W,0.0001154858835099,176,YLR311C,0.0839752014721691,23,YHL048W,0.1016024838436854,44,YBL017C,0.0041354675587201,98,YKL202W,9.26929793662044e-05,89,YMR173W,0.0892957235731805,648,YKL202W,0.0823534758489857,89,YMR173W,0.0043878204896513,648,YKL201C,0.0027177977659799,608,YAR050W,0.004752151686938,190,YKL202W,0.0033057063337441,34
6,YKL202W,0.0029682590357919,125,YJR162C,0.0001111931065052,53,YPL257W,0.0827565562075116,119,YHR211W,0.0985569911617696,49,YIR039C,0.0040449683909232,31,YFR019W,8.832791050665671e-05,382,YPL257W,0.0883421201395756,119,YMR173W,0.0783466131784345,648,YIR039C,0.0042594035525814,31,YKL202W,0.0026288590931134,125,YJR162C,0.0045521228754237,5,YKL202W,0.0032726702155606,36
7,YEL069C,0.0029458238765203,62,YCR108C,0.0001053472615547,15,YHL008C,0.0825840731893679,470,YGL062W,0.0984718155563267,0,YMR173W,0.0040047817094291,648,YKL163W,8.682103433861519e-05,156,YNL161W,0.0872842363865316,592,YIR039C,0.076577900543764,31,YPL257W,0.0042525367206121,119,YOR153W,0.0025804334843661,223,YNR072W,0.0044100482396695,89,YJR162C,0.0031850879948787,15
8,YOL156W,0.0028750718391958,72,YIR039C,9.9888986946332e-05,31,YAR050W,0.0821206016956176,190,YIR039C,0.0974162140224554,31,YKL202W,0.0039705947132362,36,YFL062W,7.244215967472647e-05,46,YOL105C,0.0869091200578179,539,YPL257W,0.0757300216417797,119,YBL017C,0.0042219482086611,98,YOR153W,0.002547839361824,356,YKR102W,0.004324079195405,935,YJR162C,0.0031383998612255,5
9,YBR112C,0.0027444614919833,241,YGL062W,9.697941745933596e-05,0,YNL161W,0.080766818083456,592,YMR173W,0.0948448104772636,648,YKL202W,0.0039235268619067,34,YAL063C,7.147505191447339e-05,26,YKL202W,0.0848606151990734,36,YOR153W,0.0740571659678339,201,YKL202W,0.0039557140552715,21,YHR211W,0.0025196084464219,177,YNL112W,0.0042718447241116,329,YAR014C,0.0031144574501392,115
10,YML017W,0.0027109608506624,110,YMR173W,9.514107046328358e-05,648,YIR039C,0.0806608383920896,31,YNL161W,0.0905489755114595,622,YKL202W,0.0039235268619067,41,YMR173W,7.051164969710717e-05,648,YPR003C,0.0823530463124662,58,YOR153W,0.0729626292382147,11,YHL008C,0.0038434853565606,470,YFL023W,0.0025167207207074,339,YHR094C,0.0042630023492432,332,YKL202W,0.0030918784254613,89
11,YOL155C,0.0026732828482832,467,YKL202W,9.379662354256867e-05,125,YOR153W,0.0806608383920896,120,YPL257W,0.089116177959141,119,YBL035C,0.0037834438919467,3,YIR039C,7.03360678377937e-05,31,YIR039C,0.0805586127144563,31,YOR153W,0.0706785666420371,223,YHL008C,0.0038434853565606,469,YMR317W,0.0024616856444806,78,YIL123W,0.0041226395569791,150,YOR153W,0.0030576860835751,223
12,YPL257W,0.0026657545250589,131,YOL156W,9.225364150368643e-05,72,YHL048W,0.0806608383920896,45,YNL161W,0.0885473588013705,286,YPL257W,0.0037574459893366,119,YFR016C,6.925762603581653e-05,133,YOR153W,0.0805586127144563,120,YNL161W,0.0705264785574295,624,YKL202W,0.0038042858608844,16,YKL201C,0.002449518950071,584,YBR297W,0.0040669786210309,121,YLR114C,0.003052787496094,757
